CA,176155
NY,118483
TX,90484
FL,80046
PA,69124
IL,60732
OH,52902
MI,50197
MA,48757
NJ,43135
NC,38187
GA,34735
WA,34268
VA,33401
MD,31709
MN,28450
MO,26951
AZ,26770
CO,25846
WI,25566
TN,25278
IN,24101
CT,20433
OR,20090
SC,17050
LA,16956
KY,16934
AL,15653
OK,13952
IA,12517
KS,11667
UT,10483
AR,10058
NV,9194
NM,8829
MS,8713
NE,7775
WV,7416
HI,7348
ME,6805
NH,6652
RI,6291
ID,5379
DE,4295
MT,4063
VT,3525
SD,3515
AK,3304
ND,3237
WY,2047
